ID_NUM,IND_ACCDA,IND_ACCIV,TOTAL_MU30DF,TOTAL_HG30DF,TOTAL_HL30DF,FECHA_ACCIDENTE,HORA_ACCIDENTE,MES_1F,ANYO,CCAA_1F,PROVINCIA_1F,COD_MUNICIPIO,CARRETERA,KM,SENTIDO_1F,TIPO_VIA_3F,TITULARIDAD_VIA_2F,TIPO_ANIMAL_1F,TIPO_ANIMAL_2F
202444266273,0,1,0,0,1,18/5/2024,4:10,5,2024,2,44,00000,N-234,"189,954",1,2,1,5,1
202444266274,1,0,0,0,0,18/5/2024,7:50,5,2024,2,44,00000,N-234,202,1,2,1,5,1
202444266275,1,0,0,0,0,22/5/2024,6:45,5,2024,2,44,00000,CAMINO DEL,4,2,2,5,5,1
202444266276,1,0,0,0,0,22/5/2024,19:25,5,2024,2,44,00000,A-1507,"2,947",1,2,2,5,1
202444266277,1,0,0,0,0,27/5/2024,8:20,5,2024,2,44,00000,A-23,"183,5",1,1,1,5,1
202444266278,1,0,0,0,0,30/5/2024,22:15,5,2024,2,44,00000,N-234,"186,4",1,2,1,5,1
202444266279,1,0,0,0,0,2/6/2024,1:20,6,2024,2,44,00000,N-234,197,2,2,1,5,1
202444266280,1,0,0,0,0,9/6/2024,0:40,6,2024,2,44,00000,A-1507,"5,29",1,2,2,5,1
202444266281,1,0,0,0,0,11/6/2024,23:30,6,2024,2,44,00000,A-1507,11,1,2,2,5,1
202444266282,1,0,0,0,0,12/6/2024,0:10,6,2024,2,44,00000,A-1507,9,1,2,2,5,1
202444266283,1,0,0,0,0,22/6/2024,21:28,6,2024,2,44,00000,A-1507,6,1,2,2,5,1
202444266284,1,0,0,0,0,2/7/2024,15:00,7,2024,2,44,00000,N-234,"187,3",2,2,1,5,1
202444266285,1,0,0,0,0,8/7/2024,1:50,7,2024,2,44,00000,A-23,"198,2",2,1,1,5,1
202444266286,1,0,0,0,0,15/7/2024,0:15,7,2024,2,44,00000,A-1507,"4,8",1,2,2,8,1
202444266287,1,0,0,0,0,17/7/2024,22:30,7,2024,2,44,00000,A-1507,4,2,2,2,5,1
202444266288,1,0,0,0,0,19/7/2024,22:30,7,2024,2,44,00000,A-1507,"5,1",2,2,2,5,1
202444266289,1,0,0,0,0,22/7/2024,19:50,7,2024,2,44,00000,N-234,"187,5",1,2,1,5,1
202444266290,1,0,0,0,0,28/7/2024,22:00,7,2024,2,44,00000,A-1508,28,2,2,2,5,1
202444266291,1,0,0,0,0,4/8/2024,1:00,8,2024,2,44,00000,TE-V-1145,2,2,2,3,5,1
202444266292,1,0,0,0,0,6/8/2024,21:30,8,2024,2,44,00000,N-234,190,1,2,1,5,1
202444266293,1,0,0,0,0,17/8/2024,21:55,8,2024,2,44,00000,N-234,194,1,2,1,5,1
202444266294,1,0,0,0,0,19/8/2024,1:25,8,2024,2,44,00000,A-1507,"10,549",2,2,2,5,1
202444266295,1,0,0,0,0,31/7/2024,22:00,7,2024,2,44,00000,A-2512,"5,5",2,2,2,8,1
202444266296,1,0,0,0,0,12/8/2024,22:05,8,2024,2,44,00000,N-234,200,1,2,1,8,1
202444266297,1,0,0,0,0,14/8/2024,10:40,8,2024,2,44,00000,A-1507,17,1,2,2,5,1
202444266298,1,0,0,0,0,6/8/2024,3:00,8,2024,2,44,00000,N-234,199,2,2,1,5,1
202444266299,1,0,0,0,0,8/8/2024,21:30,8,2024,2,44,00000,A-1508,8,1,2,2,8,1
202444266300,1,0,0,0,0,13/9/2024,22:10,9,2024,2,44,00000,N-234,195,1,2,1,8,1
202444266301,1,0,0,0,0,16/9/2024,20:40,9,2024,2,44,00000,N-234,187,2,2,1,5,1
202444266302,1,0,0,0,0,6/10/2024,21:50,10,2024,2,44,00000,N-234,198,1,2,1,8,1
